node,product,amount(tonne/week),time
ag_node1,p1,634.534288929,1
ag_node1,p1,634.534288929,2
ag_node1,p5,196.66676095648307,1
ag_node1,p5,196.66676095648307,2
ag_node1,p5,721.4739652795108,3
ag_node1,p5,721.4739652795108,4
ag_node1,p5,721.4739652795108,5
ag_node1,p5,721.4739652795108,6
ag_node1,p5,721.4739652795108,7
ag_node1,p5,721.4739652795108,8
ag_node1,p5,721.4739652795108,9
ag_node2,p1,163.59087135599998,3
ag_node2,p1,163.59087135599998,4
ag_node2,p1,163.59087135599998,5
ag_node2,p1,163.59087135599998,6
ag_node2,p1,163.59087135599998,7
ag_node2,p1,163.59087135599998,8
ag_node2,p1,163.59087135599998,9
ag_node2,p1,163.59087135599998,10
ag_node2,p1,163.59087135599998,11
ag_node2,p1,163.59087135599998,12
ag_node2,p1,163.59087135599998,13
ag_node2,p1,163.59087135599998,14
ag_node2,p1,163.59087135599998,15
ag_node2,p2,1380.7718929175599,4
ag_node2,p2,1380.7718929175599,5
ag_node2,p2,1380.7718929175599,6
ag_node2,p2,1380.7718929175599,7
ag_node2,p2,707.0351778417671,8
ag_node2,p2,1380.7718929175599,9
ag_node2,p2,1380.7718929175599,10
ag_node2,p2,1380.7718929175599,12
ag_node2,p2,1380.7718929175599,13
ag_node2,p2,1380.7718929175599,14
ag_node2,p2,1380.7718929175599,15
ag_node2,p3,1879.1977930043224,3
ag_node2,p3,916.9396875259282,8
ag_node2,p3,1879.1977930043224,11
ag_node3,p5,580.9804533644829,4
ag_node3,p5,580.9804533644829,5
ag_node3,p5,580.9804533644829,6
ag_node3,p5,580.9804533644829,7
ag_node3,p5,580.9804533644829,8
ag_node3,p5,580.9804533644829,9
ag_node3,p5,580.9804533644829,10
ag_node3,p5,580.9804533644829,11
ag_node4,p2,462.23310811027045,4
ag_node4,p2,462.23310811027045,5
ag_node4,p2,462.23310811027045,6
ag_node4,p2,462.23310811027045,7
ag_node4,p2,462.23310811027045,8
ag_node4,p2,462.23310811027045,9
ag_node4,p2,462.23310811027045,10
ag_node4,p2,462.23310811027045,11
ag_node5,p2,513.33262671,3
ag_node5,p2,545.20762671,4
ag_node5,p2,481.45762671,5
ag_node5,p2,1788.3192424792342,6
ag_node5,p2,481.45762671,7
ag_node5,p2,2149.195695864003,8
ag_node5,p2,2196.0370706789276,9
ag_node5,p2,513.33262671,10
ag_node5,p2,2172.616383271465,11
ag_node5,p2,2172.616383271465,12
ag_node5,p2,481.45762671,13
ag_node5,p2,2077.599644783066,14
ag_node5,p2,2173.7874176418386,15
ag_node5,p3,2388.0279241355365,3
ag_node5,p3,2344.6468052416362,4
ag_node5,p3,2431.4090430294373,5
ag_node5,p3,652.8013840001001,6
ag_node5,p3,2431.4090430294373,7
ag_node5,p3,161.65709128499998,8
ag_node5,p3,97.90709128499998,9
ag_node5,p3,2388.0279241355365,10
ag_node5,p3,129.78209128499998,11
ag_node5,p3,129.78209128499998,12
ag_node5,p3,2431.4090430294373,13
ag_node5,p3,259.0976184779694,14
ag_node5,p3,128.18834128499998,15
ag_node6,p1,188.37736701900002,3
ag_node6,p1,188.37736701900002,4
ag_node6,p1,188.37736701900002,5
ag_node6,p1,188.37736701900002,6
ag_node6,p1,188.37736701900002,7
ag_node6,p1,188.37736701900002,8
ag_node6,p1,188.37736701900002,9
ag_node6,p1,188.37736701900002,10
ag_node6,p1,188.37736701900002,11
ag_node6,p1,188.37736701900002,12
